iter	Passed	Remaining
570	59750	44891
571	59857	44788
572	59960	44682
573	60060	44574
574	60166	44470
575	60270	44365
576	60375	44261
577	60483	44159
578	60584	44052
579	60682	43942
580	60785	43837
581	60886	43729
582	60991	43624
583	61089	43515
584	61194	43411
585	61295	43304
586	61396	43197
587	61494	43088
588	61603	42986
589	61703	42879
590	61806	42773
591	61909	42667
592	62010	42560
593	62109	42451
594	62217	42349
595	62322	42245
596	62420	42136
597	62518	42027
598	62624	41923
599	62726	41817
600	62828	41711
601	62926	41602
602	63023	41493
603	63124	41386
604	63228	41281
605	63320	41169
606	63430	41067
607	63541	40967
608	63646	40863
609	63754	40761
610	63862	40658
611	63962	40551
612	64064	40445
613	64156	40332
614	64259	40227
615	64356	40118
616	64454	40009
617	64563	39908
618	64669	39804
619	64768	39696
620	64865	39588
621	64967	39482
622	65066	39374
623	65169	39268
624	65272	39163
625	65374	39057
626	65476	38951
627	65580	38847
628	65689	38745
629	65787	38637
630	65891	38532
631	65993	38426
632	66096	38321
633	66191	38211
634	66299	38108
635	66411	38009
636	66527	37911
637	66625	37803
638	66732	37700
639	66840	37597
640	66942	37491
641	67044	37385
642	67148	37281
643	67250	37175
644	67343	37064
645	67446	36959
646	67549	36854
647	67656	36751
648	67760	36646
649	67860	36540
650	67964	36435
651	68065	36329
652	68166	36223
653	68263	36114
654	68366	36009
655	68465	35902
656	68568	35797
657	68665	35689
658	68773	35586
659	68872	35479
660	68982	35378
661	69081	35271
662	69189	35168
663	69288	35061
664	69394	34957
665	69503	34856
666	69600	34748
667	69703	34643
668	69801	34535
669	69901	34429
670	70000	34322
671	70094	34212
672	70196	34107
673	70291	33998
674	70401	33896
675	70500	33789
676	70605	33686
677	70706	33580
678	70805	33473
679	70906	33367
680	71009	33263
681	71108	33156
682	71214	33052
683	71312	32945
684	71407	32836
685	71507	32730
686	71616	32628
687	71713	32521
688	71817	32416
689	71919	32311
690	72023	32207
691	72126	32102
692	72228	31997
693	72339	31895
694	72447	31793
695	72575	31699
696	72682	31596
697	72790	31493
698	72907	31395
699	73010	31290
700	73115	31186
701	73215	31079
702	73317	30974
703	73421	30870
704	73533	30769
705	73635	30664
706	73749	30563
707	73855	30460
708	73962	30357
709	74071	30254
710	74176	30150
711	74280	30045
712	74390	29944
713	74495	29840
714	74598	29735
715	74698	29629
716	74797	29522
717	74900	29417
718	75005	29313
719	75106	29208
720	75217	29106
721	75329	29005
722	75445	28905
723	75563	28805
724	75671	28702
725	75777	28599
726	75894	28499
727	75991	28392
728	76097	28288
729	76194	28181
730	76298	28077
731	76395	27970
732	76462	27851
733	76573	27750
734	76673	27644
735	76777	27539
736	76882	27435
737	76985	27330
738	77082	27223
739	77181	27117
740	77280	27011
741	77380	26905
742	77485	26801
743	77593	26698
744	77696	26594
745	77795	26488
746	77897	26382
747	77997	26277
748	78098	26171
749	78192	26064
750	78298	25960
751	78397	25854
752	78510	25752
753	78617	25649
754	78724	25546
755	78824	25440
756	78925	25335
757	79025	25229
758	79128	25125
759	79225	25018
760	79333	24915
761	79430	24808
762	79534	24704
763	79644	24602
764	79743	24496
765	79842	24390
766	79945	24285
767	80044	24180
768	80087	24057
769	80188	23952
770	80285	23846
771	80391	23742
772	80497	23639
773	80601	23534
774	80702	23429
775	80806	23325
776	80917	23223
777	81027	23120
778	81131	23016
779	81231	22911
780	81332	22806
781	81435	22701
782	81543	22598
783	81650	22495
784	81750	22390
785	81853	22285
786	81950	22179
787	82052	22075
788	82158	21971
789	82266	21868
790	82370	21764
791	82470	21658
792	82589	21558
793	82707	21458
794	82812	21354
795	82915	21249
796	83018	21145
797	83119	21040
798	83222	20935
799	83320	20830
800	83419	20724
801	83519	20619
802	83620	20514
803	83717	20408
804	83824	20305
805	83931	20201
806	84036	20098
807	84134	19992
808	84236	19887
809	84334	19782
810	84433	19676
811	84537	19572
812	84637	19467
813	84740	19363
814	84855	19261
815	84955	19156
816	85059	19052
817	85157	18947
818	85255	18841
819	85363	18738
820	85469	18634
821	85573	18530
822	85683	18427
823	85792	18324
824	85894	18219
825	85998	18115
826	86100	18011
827	86206	17907
828	86308	17802
829	86406	17697
830	86506	17592
831	86615	17489
832	86714	17384
833	86822	17281
834	86930	17177
835	87033	17073
836	87137	16969
837	87239	16864
838	87336	16759
839	87444	16656
840	87548	16551
841	87652	16447
842	87756	16343
843	87865	16240
844	87968	16136
845	88076	16032
846	88178	15928
847	88300	15827
848	88409	15724
849	88514	15620
850	88621	15516
851	88730	15413
852	88839	15309
853	88949	15206
854	89049	15101
855	89150	14997
856	89253	14892
857	89370	14790
858	89477	14687
859	89594	14585
860	89696	14480
861	89805	14377
862	89917	14274
863	90028	14171
864	90135	14067
865	90238	13963
866	90340	13858
867	90450	13755
868	90554	13650
869	90658	13546
870	90763	13442
871	90874	13339
872	90974	13234
873	91074	13129
874	91187	13026
875	91292	12922
876	91395	12818
877	91502	12714
878	91613	12611
879	91726	12508
880	91836	12404
881	91939	12300
882	92039	12195
883	92140	12090
884	92239	11985
885	92336	11880
886	92436	11776
887	92545	11672
888	92641	11567
889	92745	11462
890	92847	11358
891	92966	11256
892	93069	11151
893	93172	11047
894	93274	10942
895	93376	10838
896	93480	10734
897	93583	10629
898	93681	10524
899	93787	10420
900	93887	10316
901	93990	10211
902	94089	10107
903	94192	10002
904	94293	9898
905	94392	9793
906	94497	9689
907	94604	9585
908	94701	9480
909	94803	9376
910	94903	9271
911	95003	9167
912	95104	9062
913	95211	8958
914	95310	8853
915	95414	8749
916	95517	8645
917	95623	8541
918	95726	8437
919	95827	8332
920	95932	8228
921	96044	8125
922	96146	8020
923	96247	7916
924	96347	7811
925	96445	7707
926	96559	7603
927	96660	7499
928	96763	7395
929	96864	7290
930	96961	7186
931	97063	7081
932	97164	6977
933	97263	6873
934	97361	6768
935	97463	6664
936	97564	6559
937	97666	6455
938	97767	6351
939	97872	6247
940	97971	6142
941	98077	6038
942	98172	5934
943	98268	5829
944	98370	5725
945	98470	5620
946	98574	5516
947	98693	5413
948	98795	5309
949	98905	5205
950	99008	5101
951	99112	4997
952	99209	4892
953	99308	4788
954	99404	4683
955	99512	4580
956	99618	4476
957	99730	4372
958	99833	4268
959	99944	4164
960	100043	4060
961	100145	3955
962	100244	3851
963	100350	3747
964	100450	3643
965	100556	3539
966	100653	3434
967	100754	3330
968	100853	3226
969	100960	3122
970	101058	3018
971	101157	2914
972	101257	2809
973	101358	2705
974	101455	2601
975	101570	2497
976	101669	2393
977	101775	2289
978	101885	2185
979	101996	2081
980	102098	1977
981	102201	1873
982	102302	1769
983	102404	1665
984	102507	1561
985	102611	1456
986	102716	1352
987	102815	1248
988	102919	1144
989	103020	1040
990	103132	936
991	103235	832
992	103337	728
993	103438	624
994	103537	520
995	103638	416
996	103740	312
997	103843	208
998	103946	104
999	104047	0
